Origem,Alagoas (Km),Alagoas (Hr - Comercial),Alagoas (Hr - Cargueiro),Amapá (Km),Amapá (Hr - Comercial),Amapá (Hr - Cargueiro),Amazonas (Km),Amazonas (Hr - Comercial),Amazonas (Hr - Cargueiro),Bahia (Km),Bahia (Hr - Comercial),Bahia (Hr - Cargueiro),Ceará (Km),Ceará (Hr - Comercial),Ceará (Hr - Cargueiro),Distrito Federal (Km),Distrito Federal (Hr - Comercial),Distrito Federal (Hr - Cargueiro),Espírito Santo (Km),Espírito Santo (Hr - Comercial),Espírito Santo (Hr - Cargueiro),Maranhão (Km),Maranhão (Hr - Comercial),Maranhão (Hr - Cargueiro),Mato Grosso (Km),Mato Grosso (Hr - Comercial),Mato Grosso (Hr - Cargueiro),Minas Gerais (Km),Minas Gerais (Hr - Comercial),Minas Gerais (Hr - Cargueiro),Pará (Km),Pará (Hr - Comercial),Pará (Hr - Cargueiro),Paraná (Km),Paraná (Hr - Comercial),Paraná (Hr - Cargueiro),Pernambuco (Km),Pernambuco (Hr - Comercial),Pernambuco (Hr - Cargueiro),Rio de Janeiro (Km),Rio de Janeiro (Hr - Comercial),Rio de Janeiro (Hr - Cargueiro),Rio Grande do Norte (Km),Rio Grande do Norte (Hr - Comercial),Rio Grande do Norte (Hr - Cargueiro),Rio Grande do Sul (Km),Rio Grande do Sul (Hr - Comercial),Rio Grande do Sul (Hr - Cargueiro),Santa Catarina (Km),Santa Catarina (Hr - Comercial),Santa Catarina (Hr - Cargueiro),São Paulo (Km),São Paulo (Hr - Comercial),São Paulo (Hr - Cargueiro),Sergipe (Km),Sergipe (Hr - Comercial),Sergipe (Hr - Cargueiro)
Aeroporto Internacional de Penang (Penang),15164,16:50 ~ 17:50,17:50 ~ 18:57,16797,18:39 ~ 19:45,19:45 ~ 20:59,18527,20:35 ~ 21:47,21:47 ~ 23:09,15414,17:07 ~ 18:08,18:08 ~ 19:16,15464,17:10 ~ 18:11,18:11 ~ 19:19,16369,18:11 ~ 19:15,19:15 ~ 20:27,15458,17:10 ~ 18:11,18:11 ~ 19:19,16085,17:52 ~ 18:55,18:55 ~ 20:06,17240,19:09 ~ 20:16,20:16 ~ 21:33,15775,17:31 ~ 18:33,18:33 ~ 19:43,16539,18:22 ~ 19:27,19:27 ~ 20:40,16089,17:52 ~ 18:55,18:55 ~ 20:06,15076,16:45 ~ 17:44,17:44 ~ 18:50,15647,17:23 ~ 18:24,18:24 ~ 19:33,15111,16:47 ~ 17:46,17:46 ~ 18:53,15965,17:44 ~ 18:46,18:46 ~ 19:57,15899,17:39 ~ 18:42,18:42 ~ 19:52,15937,17:42 ~ 18:44,18:44 ~ 19:55,15299,16:59 ~ 17:59,17:59 ~ 19:07
Aeroporto Internacional Soekarno-Hatta (Jacarta),15535,17:15 ~ 18:16,18:16 ~ 19:25,17470,19:24 ~ 20:33,20:33 ~ 21:50,18705,20:47 ~ 22:00,22:00 ~ 23:22,15621,17:21 ~ 18:22,18:22 ~ 19:31,16013,17:47 ~ 18:50,18:50 ~ 20:00,16313,18:07 ~ 19:11,19:11 ~ 20:23,15376,17:05 ~ 18:05,18:05 ~ 19:13,16657,18:30 ~ 19:35,19:35 ~ 20:49,16971,18:51 ~ 19:57,19:57 ~ 21:12,15665,17:24 ~ 18:25,18:25 ~ 19:34,17149,19:03 ~ 20:10,20:10 ~ 21:26,15668,17:24 ~ 18:25,18:25 ~ 19:35,15486,17:12 ~ 18:13,18:13 ~ 19:21,15426,17:08 ~ 18:08,18:08 ~ 19:16,15602,17:20 ~ 18:21,18:21 ~ 19:30,15366,17:04 ~ 18:04,18:04 ~ 19:12,15422,17:08 ~ 18:08,18:08 ~ 19:16,15633,17:22 ~ 18:23,18:23 ~ 19:32,15590,17:19 ~ 18:20,18:20 ~ 19:29
Aeroporto Internacional Indira Gandhi,12720,14:07 ~ 14:57,14:57 ~ 15:54,13674,15:11 ~ 16:05,16:05 ~ 17:05,15248,16:56 ~ 17:56,17:56 ~ 19:03,13165,14:37 ~ 15:29,15:29 ~ 16:27,12714,14:07 ~ 14:57,14:57 ~ 15:53,14242,15:49 ~ 16:45,16:45 ~ 17:48,13682,15:12 ~ 16:05,16:05 ~ 17:06,13193,14:39 ~ 15:31,15:31 ~ 16:29,15060,16:44 ~ 17:43,17:43 ~ 18:49,13944,15:29 ~ 16:24,16:24 ~ 17:25,13522,15:01 ~ 15:54,15:54 ~ 16:54,14725,16:21 ~ 17:19,17:19 ~ 18:24,12594,13:59 ~ 14:48,14:48 ~ 15:44,14064,15:37 ~ 16:32,16:32 ~ 17:34,12504,13:53 ~ 14:42,14:42 ~ 15:37,15043,16:42 ~ 17:41,17:41 ~ 18:48,14736,16:22 ~ 17:20,17:20 ~ 18:25,14403,16:00 ~ 16:56,16:56 ~ 18:00,12946,14:23 ~ 15:13,15:13 ~ 16:10
Aeroporto Internacional de Malé,12206,13:33 ~ 14:21,14:21 ~ 15:15,13858,15:23 ~ 16:18,16:18 ~ 17:19,15570,17:18 ~ 18:19,18:19 ~ 19:27,12491,13:52 ~ 14:41,14:41 ~ 15:36,12494,13:52 ~ 14:41,14:41 ~ 15:37,13510,15:00 ~ 15:53,15:53 ~ 16:53,12663,14:04 ~ 14:53,14:53 ~ 15:49,13119,14:34 ~ 15:26,15:26 ~ 16:23,14418,16:01 ~ 16:57,16:57 ~ 18:01,12977,14:25 ~ 15:16,15:16 ~ 16:13,13583,15:05 ~ 15:58,15:58 ~ 16:58,13492,14:59 ~ 15:52,15:52 ~ 16:51,12114,13:27 ~ 14:15,14:15 ~ 15:08,12930,14:22 ~ 15:12,15:12 ~ 16:09,12142,13:29 ~ 14:17,14:17 ~ 15:10,13564,15:04 ~ 15:57,15:57 ~ 16:57,13377,14:51 ~ 15:44,15:44 ~ 16:43,13258,14:43 ~ 15:35,15:35 ~ 16:34,12355,13:43 ~ 14:32,14:32 ~ 15:26
Aeroporto Internacional de Nursultan Nazarbayev,11988,13:19 ~ 14:06,14:06 ~ 14:59,12209,13:33 ~ 14:21,14:21 ~ 15:15,13424,14:54 ~ 15:47,15:47 ~ 16:46,12498,13:53 ~ 14:42,14:42 ~ 15:37,11724,13:01 ~ 13:47,13:47 ~ 14:39,13412,14:54 ~ 15:46,15:46 ~ 16:45,13249,14:43 ~ 15:35,15:35 ~ 16:33,12004,13:20 ~ 14:07,14:07 ~ 15:00,13962,15:30 ~ 16:25,16:25 ~ 17:27,13404,14:53 ~ 15:46,15:46 ~ 16:45,12173,13:31 ~ 14:19,14:19 ~ 15:12,14275,15:51 ~ 16:47,16:47 ~ 17:50,11852,13:10 ~ 13:56,13:56 ~ 14:48,13667,15:11 ~ 16:04,16:04 ~ 17:05,11673,12:58 ~ 13:43,13:43 ~ 14:35,14786,16:25 ~ 17:23,17:23 ~ 18:28,14423,16:01 ~ 16:58,16:58 ~ 18:01,13941,15:29 ~ 16:24,16:24 ~ 17:25,12243,13:36 ~ 14:24,14:24 ~ 15:18
Aeroporto Internacional Sheremetyevo (Moscou),9807,10:53 ~ 11:32,11:32 ~ 12:15,9909,11:00 ~ 11:39,11:39 ~ 12:23,11164,12:24 ~ 13:08,13:08 ~ 13:57,10320,11:28 ~ 12:08,12:08 ~ 12:54,9485,10:32 ~ 11:09,11:09 ~ 11:51,11169,12:24 ~ 13:08,13:08 ~ 13:57,11114,12:20 ~ 13:04,13:04 ~ 13:53,9725,10:48 ~ 11:26,11:26 ~ 12:09,11672,12:58 ~ 13:43,13:43 ~ 14:35,11229,12:28 ~ 13:12,13:12 ~ 14:02,9877,10:58 ~ 11:37,11:37 ~ 12:20,12091,13:26 ~ 14:13,14:13 ~ 15:06,9673,10:44 ~ 11:22,11:22 ~ 12:05,11525,12:48 ~ 13:33,13:33 ~ 14:24,9474,10:31 ~ 11:08,11:08 ~ 11:50,12629,14:01 ~ 14:51,14:51 ~ 15:47,12269,13:37 ~ 14:26,14:26 ~ 15:20,11767,13:04 ~ 13:50,13:50 ~ 14:42,10063,11:10 ~ 11:50,11:50 ~ 12:34
Aeroporto de Pulkovo (São Petersburgo),9573,10:38 ~ 11:15,11:15 ~ 11:57,9517,10:34 ~ 11:11,11:11 ~ 11:53,10692,11:52 ~ 12:34,12:34 ~ 13:21,10084,11:12 ~ 11:51,11:51 ~ 12:36,9203,10:13 ~ 10:49,10:49 ~ 11:30,10872,12:04 ~ 12:47,12:47 ~ 13:35,10898,12:06 ~ 12:49,12:49 ~ 13:37,9393,10:26 ~ 11:03,11:03 ~ 11:44,11312,12:34 ~ 13:18,13:18 ~ 14:08,10987,12:12 ~ 12:55,12:55 ~ 13:44,9509,10:33 ~ 11:11,11:11 ~ 11:53,11833,13:08 ~ 13:55,13:55 ~ 14:47,9442,10:29 ~ 11:06,11:06 ~ 11:48,11300,12:33 ~ 13:17,13:17 ~ 14:07,9228,10:15 ~ 10:51,10:51 ~ 11:32,12383,13:45 ~ 14:34,14:34 ~ 15:28,12029,13:21 ~ 14:09,14:09 ~ 15:02,11520,12:48 ~ 13:33,13:33 ~ 14:24,9827,10:55 ~ 11:33,11:33 ~ 12:17
Aeroporto de Helsinque,9338,10:22 ~ 10:59,10:59 ~ 11:40,9236,10:15 ~ 10:51,10:51 ~ 11:32,10395,11:33 ~ 12:13,12:13 ~ 12:59,9847,10:56 ~ 11:35,11:35 ~ 12:18,8953,09:56 ~ 10:31,10:31 ~ 11:11,10615,11:47 ~ 12:29,12:29 ~ 13:16,10668,11:51 ~ 12:33,12:33 ~ 13:20,9128,10:08 ~ 10:44,10:44 ~ 11:24,11037,12:15 ~ 12:59,12:59 ~ 13:47,10747,11:56 ~ 12:38,12:38 ~ 13:26,9234,10:15 ~ 10:51,10:51 ~ 11:32,11587,12:52 ~ 13:37,13:37 ~ 14:29,9208,10:13 ~ 10:49,10:49 ~ 11:30,11066,12:17 ~ 13:01,13:01 ~ 13:49,8990,09:59 ~ 10:34,10:34 ~ 11:14,12140,13:29 ~ 14:16,14:16 ~ 15:10,11789,13:05 ~ 13:52,13:52 ~ 14:44,11277,12:31 ~ 13:16,13:16 ~ 14:05,9592,10:39 ~ 11:17,11:17 ~ 11:59
Aeroporto Internacional de Boryspil (Kiev),9174,10:11 ~ 10:47,10:47 ~ 11:28,9435,10:28 ~ 11:05,11:05 ~ 11:47,10803,12:00 ~ 12:42,12:42 ~ 13:30,9686,10:45 ~ 11:23,11:23 ~ 12:06,8893,09:52 ~ 10:27,10:27 ~ 11:06,10581,11:45 ~ 12:26,12:26 ~ 13:13,10461,11:37 ~ 12:18,12:18 ~ 13:04,9180,10:11 ~ 10:48,10:48 ~ 11:28,11145,12:22 ~ 13:06,13:06 ~ 13:55,10595,11:46 ~ 12:27,12:27 ~ 13:14,9373,10:24 ~ 11:01,11:01 ~ 11:42,11464,12:44 ~ 13:29,13:29 ~ 14:19,9039,10:02 ~ 10:38,10:38 ~ 11:17,10876,12:05 ~ 12:47,12:47 ~ 13:35,8851,09:50 ~ 10:24,10:24 ~ 11:03,11989,13:19 ~ 14:06,14:06 ~ 14:59,11627,12:55 ~ 13:40,13:40 ~ 14:32,11133,12:22 ~ 13:05,13:05 ~ 13:54,9430,10:28 ~ 11:05,11:05 ~ 11:47
Aeroporto de Tallinn,9280,10:18 ~ 10:55,10:55 ~ 11:35,9207,10:13 ~ 10:49,10:49 ~ 11:30,10385,11:32 ~ 12:13,12:13 ~ 12:58,9790,10:52 ~ 11:31,11:31 ~ 12:14,8902,09:53 ~ 10:28,10:28 ~ 11:07,10568,11:44 ~ 12:25,12:25 ~ 13:12,10608,11:47 ~ 12:28,12:28 ~ 13:15,9086,10:05 ~ 10:41,10:41 ~ 11:21,11003,12:13 ~ 12:56,12:56 ~ 13:45,10691,11:52 ~ 12:34,12:34 ~ 13:21,9200,10:13 ~ 10:49,10:49 ~ 11:30,11534,12:48 ~ 13:34,13:34 ~ 14:25,9149,10:09 ~ 10:45,10:45 ~ 11:26,11007,12:13 ~ 12:56,12:56 ~ 13:45,8933,09:55 ~ 10:30,10:30 ~ 11:09,12086,13:25 ~ 14:13,14:13 ~ 15:06,11733,13:02 ~ 13:48,13:48 ~ 14:39,11222,12:28 ~ 13:12,13:12 ~ 14:01,9534,10:35 ~ 11:12,11:12 ~ 11:55
Aeroporto Internacional de Riga,9099,10:06 ~ 10:42,10:42 ~ 11:22,9100,10:06 ~ 10:42,10:42 ~ 11:22,10331,11:28 ~ 12:09,12:09 ~ 12:54,9610,10:40 ~ 11:18,11:18 ~ 12:00,8740,09:42 ~ 10:16,10:16 ~ 10:55,10415,11:34 ~ 12:15,12:15 ~ 13:01,10421,11:34 ~ 12:15,12:15 ~ 13:01,8947,09:56 ~ 10:31,10:31 ~ 11:11,10880,12:05 ~ 12:48,12:48 ~ 13:35,10515,11:41 ~ 12:22,12:22 ~ 13:08,9079,10:05 ~ 10:40,10:40 ~ 11:20,11365,12:37 ~ 13:22,13:22 ~ 14:12,8966,09:57 ~ 10:32,10:32 ~ 11:12,10825,12:01 ~ 12:44,12:44 ~ 13:31,8756,09:43 ~ 10:18,10:18 ~ 10:56,11913,13:14 ~ 14:00,14:00 ~ 14:53,11558,12:50 ~ 13:35,13:35 ~ 14:26,11049,12:16 ~ 12:59,12:59 ~ 13:48,9353,10:23 ~ 11:00,11:00 ~ 11:41
Aeroporto Internacional de Vilnius,9044,10:02 ~ 10:38,10:38 ~ 11:18,9129,10:08 ~ 10:44,10:44 ~ 11:24,10409,11:33 ~ 12:14,12:14 ~ 13:00,9557,10:37 ~ 11:14,11:14 ~ 11:56,8709,09:40 ~ 10:14,10:14 ~ 10:53,10391,11:32 ~ 12:13,12:13 ~ 12:59,10359,11:30 ~ 12:11,12:11 ~ 12:56,8942,09:56 ~ 10:31,10:31 ~ 11:10,10889,12:05 ~ 12:48,12:48 ~ 13:36,10465,11:37 ~ 12:18,12:18 ~ 13:04,9095,10:06 ~ 10:41,10:41 ~ 11:22,11322,12:34 ~ 13:19,13:19 ~ 14:09,8911,09:54 ~ 10:29,10:29 ~ 11:08,10766,11:57 ~ 12:39,12:39 ~ 13:27,8707,09:40 ~ 10:14,10:14 ~ 10:53,11865,13:11 ~ 13:57,13:57 ~ 14:49,11506,12:47 ~ 13:32,13:32 ~ 14:22,11001,12:13 ~ 12:56,12:56 ~ 13:45,9300,10:20 ~ 10:56,10:56 ~ 11:37
Aeroporto de Estocolmo-Arlanda,8968,09:57 ~ 10:33,10:33 ~ 11:12,8837,09:49 ~ 10:23,10:23 ~ 11:02,9998,11:06 ~ 11:45,11:45 ~ 12:29,9475,10:31 ~ 11:08,11:08 ~ 11:50,8571,09:31 ~ 10:05,10:05 ~ 10:42,10228,11:21 ~ 12:01,12:01 ~ 12:47,10300,11:26 ~ 12:07,12:07 ~ 12:52,8736,09:42 ~ 10:16,10:16 ~ 10:55,10641,11:49 ~ 12:31,12:31 ~ 13:18,10372,11:31 ~ 12:12,12:12 ~ 12:57,8838,09:49 ~ 10:23,10:23 ~ 11:02,11206,12:27 ~ 13:11,13:11 ~ 14:00,8839,09:49 ~ 10:23,10:23 ~ 11:02,10694,11:52 ~ 12:34,12:34 ~ 13:22,8617,09:34 ~ 10:08,10:08 ~ 10:46,11761,13:04 ~ 13:50,13:50 ~ 14:42,11412,12:40 ~ 13:25,13:25 ~ 14:15,10900,12:06 ~ 12:49,12:49 ~ 13:37,9220,10:14 ~ 10:50,10:50 ~ 11:31
Aeroporto de Istambul,8604,09:33 ~ 10:07,10:07 ~ 10:45,9159,10:10 ~ 10:46,10:46 ~ 11:26,10681,11:52 ~ 12:33,12:33 ~ 13:21,9108,10:07 ~ 10:42,10:42 ~ 11:23,8413,09:20 ~ 09:53,09:53 ~ 10:30,10081,11:12 ~ 11:51,11:51 ~ 12:36,9831,10:55 ~ 11:33,11:33 ~ 12:17,8786,09:45 ~ 10:20,10:20 ~ 10:58,10746,11:56 ~ 12:38,12:38 ~ 13:25,10003,11:06 ~ 11:46,11:46 ~ 12:30,9047,10:03 ~ 10:38,10:38 ~ 11:18,10874,12:04 ~ 12:47,12:47 ~ 13:35,8469,09:24 ~ 09:57,09:57 ~ 10:35,10250,11:23 ~ 12:03,12:03 ~ 12:48,8309,09:13 ~ 09:46,09:46 ~ 10:23,11368,12:37 ~ 13:22,13:22 ~ 14:12,11005,12:13 ~ 12:56,12:56 ~ 13:45,10536,11:42 ~ 12:23,12:23 ~ 13:10,8856,09:50 ~ 10:25,10:25 ~ 11:04
Aeroporto Internacional Henri Coand? (Bucareste),8574,09:31 ~ 10:05,10:05 ~ 10:43,8993,09:59 ~ 10:34,10:34 ~ 11:14,10458,11:37 ~ 12:18,12:18 ~ 13:04,9083,10:05 ~ 10:41,10:41 ~ 11:21,8337,09:15 ~ 09:48,09:48 ~ 10:25,10019,11:07 ~ 11:47,11:47 ~ 12:31,9835,10:55 ~ 11:34,11:34 ~ 12:17,8671,09:38 ~ 10:12,10:12 ~ 10:50,10639,11:49 ~ 12:30,12:30 ~ 13:17,9987,11:05 ~ 11:44,11:44 ~ 12:29,8902,09:53 ~ 10:28,10:28 ~ 11:07,10860,12:03 ~ 12:46,12:46 ~ 13:34,8438,09:22 ~ 09:55,09:55 ~ 10:32,10253,11:23 ~ 12:03,12:03 ~ 12:48,8264,09:10 ~ 09:43,09:43 ~ 10:19,11371,12:38 ~ 13:22,13:22 ~ 14:12,11008,12:13 ~ 12:57,12:57 ~ 13:45,10525,11:41 ~ 12:22,12:22 ~ 13:09,8829,09:48 ~ 10:23,10:23 ~ 11:02
Aeroporto de Varsóvia Chopin,8657,09:37 ~ 10:11,10:11 ~ 10:49,8788,09:45 ~ 10:20,10:20 ~ 10:59,10111,11:14 ~ 11:53,11:53 ~ 12:38,9170,10:11 ~ 10:47,10:47 ~ 11:27,8331,09:15 ~ 09:48,09:48 ~ 10:24,10016,11:07 ~ 11:47,11:47 ~ 12:31,9968,11:04 ~ 11:43,11:43 ~ 12:27,8578,09:31 ~ 10:05,10:05 ~ 10:43,10532,11:42 ~ 12:23,12:23 ~ 13:09,10078,11:11 ~ 11:51,11:51 ~ 12:35,8744,09:42 ~ 10:17,10:17 ~ 10:55,10938,12:09 ~ 12:52,12:52 ~ 13:40,8523,09:28 ~ 10:01,10:01 ~ 10:39,10377,11:31 ~ 12:12,12:12 ~ 12:58,8322,09:14 ~ 09:47,09:47 ~ 10:24,11478,12:45 ~ 13:30,13:30 ~ 14:20,11119,12:21 ~ 13:04,13:04 ~ 13:53,10615,11:47 ~ 12:29,12:29 ~ 13:16,8912,09:54 ~ 10:29,10:29 ~ 11:08
Aeroporto de Oslo-Gardermoen,8712,09:40 ~ 10:14,10:14 ~ 10:53,8504,09:26 ~ 10:00,10:00 ~ 10:37,9632,10:42 ~ 11:19,11:19 ~ 12:02,9216,10:14 ~ 10:50,10:50 ~ 11:31,8292,09:12 ~ 09:45,09:45 ~ 10:21,9934,11:02 ~ 11:41,11:41 ~ 12:25,10046,11:09 ~ 11:49,11:49 ~ 12:33,8432,09:22 ~ 09:55,09:55 ~ 10:32,10317,11:27 ~ 12:08,12:08 ~ 12:53,10105,11:13 ~ 11:53,11:53 ~ 12:37,8515,09:27 ~ 10:01,10:01 ~ 10:38,10927,12:08 ~ 12:51,12:51 ~ 13:39,8585,09:32 ~ 10:05,10:05 ~ 10:43,10434,11:35 ~ 12:16,12:16 ~ 13:02,8357,09:17 ~ 09:49,09:49 ~ 10:26,11485,12:45 ~ 13:30,13:30 ~ 14:21,11141,12:22 ~ 13:06,13:06 ~ 13:55,10627,11:48 ~ 12:30,12:30 ~ 13:17,8962,09:57 ~ 10:32,10:32 ~ 11:12
Aeroporto de Sófia,8284,09:12 ~ 09:44,09:44 ~ 10:21,8743,09:42 ~ 10:17,10:17 ~ 10:55,10234,11:22 ~ 12:02,12:02 ~ 12:47,8793,09:46 ~ 10:20,10:20 ~ 10:59,8058,08:57 ~ 09:28,09:28 ~ 10:04,9737,10:49 ~ 11:27,11:27 ~ 12:10,9541,10:36 ~ 11:13,11:13 ~ 11:55,8402,09:20 ~ 09:53,09:53 ~ 10:30,10369,11:31 ~ 12:11,12:11 ~ 12:57,9696,10:46 ~ 11:24,11:24 ~ 12:07,8644,09:36 ~ 10:10,10:10 ~ 10:48,10568,11:44 ~ 12:25,12:25 ~ 13:12,8148,09:03 ~ 09:35,09:35 ~ 10:11,9958,11:03 ~ 11:42,11:42 ~ 12:26,7977,08:51 ~ 09:23,09:23 ~ 09:58,11077,12:18 ~ 13:01,13:01 ~ 13:50,10714,11:54 ~ 12:36,12:36 ~ 13:23,10232,11:22 ~ 12:02,12:02 ~ 12:47,8539,09:29 ~ 10:02,10:02 ~ 10:40
Aeroporto Internacional de Budapeste Ferenc Liszt,8270,09:11 ~ 09:43,09:43 ~ 10:20,8538,09:29 ~ 10:02,10:02 ~ 10:40,9944,11:02 ~ 11:41,11:41 ~ 12:25,8783,09:45 ~ 10:19,10:19 ~ 10:58,7982,08:52 ~ 09:23,09:23 ~ 09:58,9670,10:44 ~ 11:22,11:22 ~ 12:05,9565,10:37 ~ 11:15,11:15 ~ 11:57,8270,09:11 ~ 09:43,09:43 ~ 10:20,10236,11:22 ~ 12:02,12:02 ~ 12:47,9692,10:46 ~ 11:24,11:24 ~ 12:06,8469,09:24 ~ 09:57,09:57 ~ 10:35,10559,11:43 ~ 12:25,12:25 ~ 13:11,8135,09:02 ~ 09:34,09:34 ~ 10:10,9978,11:05 ~ 11:44,11:44 ~ 12:28,7944,08:49 ~ 09:20,09:20 ~ 09:55,11089,12:19 ~ 13:02,13:02 ~ 13:51,10727,11:55 ~ 12:37,12:37 ~ 13:24,10230,11:22 ~ 12:02,12:02 ~ 12:47,8526,09:28 ~ 10:01,10:01 ~ 10:39
Aeroporto Nikola Tesla (Belgrado),8183,09:05 ~ 09:37,09:37 ~ 10:13,8546,09:29 ~ 10:03,10:03 ~ 10:40,9998,11:06 ~ 11:45,11:45 ~ 12:29,8695,09:39 ~ 10:13,10:13 ~ 10:52,7924,08:48 ~ 09:19,09:19 ~ 09:54,9610,10:40 ~ 11:18,11:18 ~ 12:00,9462,10:30 ~ 11:07,11:07 ~ 11:49,8241,09:09 ~ 09:41,09:41 ~ 10:18,10209,11:20 ~ 12:00,12:00 ~ 12:45,9602,10:40 ~ 11:17,11:17 ~ 12:00,8461,09:24 ~ 09:57,09:57 ~ 10:34,10473,11:38 ~ 12:19,12:19 ~ 13:05,8048,08:56 ~ 09:28,09:28 ~ 10:03,9878,10:58 ~ 11:37,11:37 ~ 12:20,7866,08:44 ~ 09:15,09:15 ~ 09:49,10994,12:12 ~ 12:56,12:56 ~ 13:44,10631,11:48 ~ 12:30,12:30 ~ 13:17,10141,11:16 ~ 11:55,11:55 ~ 12:40,8439,09:22 ~ 09:55,09:55 ~ 10:32
Aeroporto de Bratislava,8188,09:05 ~ 09:37,09:37 ~ 10:14,8412,09:20 ~ 09:53,09:53 ~ 10:30,9801,10:53 ~ 11:31,11:31 ~ 12:15,8701,09:40 ~ 10:14,10:14 ~ 10:52,7886,08:45 ~ 09:16,09:16 ~ 09:51,9574,10:38 ~ 11:15,11:15 ~ 11:58,9491,10:32 ~ 11:09,11:09 ~ 11:51,8161,09:04 ~ 09:36,09:36 ~ 10:12,10124,11:14 ~ 11:54,11:54 ~ 12:39,9611,10:40 ~ 11:18,11:18 ~ 12:00,8350,09:16 ~ 09:49,09:49 ~ 10:26,10476,11:38 ~ 12:19,12:19 ~ 13:05,8054,08:56 ~ 09:28,09:28 ~ 10:04,9902,11:00 ~ 11:38,11:38 ~ 12:22,7859,08:43 ~ 09:14,09:14 ~ 09:49,11009,12:13 ~ 12:57,12:57 ~ 13:45,10649,11:49 ~ 12:31,12:31 ~ 13:18,10149,11:16 ~ 11:56,11:56 ~ 12:41,8444,09:22 ~ 09:56,09:56 ~ 10:33
