Origem,Recife - Guararapes (Km),Recife - Guararapes (Kg),Recife - Guararapes (Hr - Comercial),Recife - Guararapes (Hr - Cargueiro),Salvador - Dpt. Magalhães (Km),Salvador - Dpt. Magalhães (Kg),Salvador - Dpt. Magalhães (Hr - Comercial),Salvador - Dpt. Magalhães (Hr - Cargueiro),Natal - Gov. Alves (Km),Natal - Gov. Alves (Kg),Natal - Gov. Alves (Hr - Comercial),Natal - Gov. Alves (Hr - Cargueiro),São Luiz - Mar. Cunha (Km),São Luiz - Mar. Cunha (Kg),São Luiz - Mar. Cunha (Hr - Comercial),São Luiz - Mar. Cunha (Hr - Cargueiro),Fortaleza - Martins (Km),Fortaleza - Martins (Kg),Fortaleza - Martins (Hr - Comercial),Fortaleza - Martins (Hr - Cargueiro)
Aeroporto Internacional de Guarulhos,,,,,,,,,,,,,,,,,2337.0,44.12,02:35 ~ 02:44,02:44 ~ 02:55
Aeroporto Internacional Guararapes - Gilberto Freyre,,,,,,,,,,,,,,,,,626.0,11.82,00:41 ~ 00:44,00:44 ~ 00:46
Aeroporto Internacional Deputado Luís Eduardo Magalhães,,,,,,,,,,,,,,,,,1011.0,19.09,01:07 ~ 01:11,01:11 ~ 01:15
Aeroporto Internacional Governador Aluízio Alves,,,,,,,,,,,,,,,,,426.0,8.04,00:28 ~ 00:30,00:30 ~ 00:31
Aeroporto Internacional Marechal Cunha Machado,,,,,,,,,,,,,,,,,646.0,12.2,00:43 ~ 00:45,00:45 ~ 00:48
Aeroporto Internacional Pinto Martins,,,,,,,,,,,,,,,,,1.0,0.02,00:00 ~ 00:00,00:00 ~ 00:00
Aeroporto Internacional de Nursultan Nazarbayev,,,,,,,,,,,,,,,,,11725.0,221.38,13:01 ~ 13:47,13:47 ~ 14:39
Aeroporto Internacional de Xangai Pudong,,,,,,,,,,,,,,,,,16349.0,308.69,18:09 ~ 19:14,19:14 ~ 20:26
Aeroporto Internacional de Pequim Capital,,,,,,,,,,,,,,,,,15277.0,288.45,16:58 ~ 17:58,17:58 ~ 19:05
Aeroporto Internacional de Pyongyang Sunan,,,,,,,,,,,,,,,,,15769.0,297.73,17:31 ~ 18:33,18:33 ~ 19:42
Aeroporto Internacional de Incheon,,,,,,,,,,,,,,,,,15975.0,301.62,17:45 ~ 18:47,18:47 ~ 19:58
Aeroporto Internacional Ninoy Aquino,,,,,,,,,,,,,,,,,17491.0,330.25,19:26 ~ 20:34,20:34 ~ 21:51
Aeroporto Internacional de Hong Kong,,,,,,,,,,,,,,,,,16415.0,309.93,18:14 ~ 19:18,19:18 ~ 20:31
Aeroporto Internacional Indira Gandhi,,,,,,,,,,,,,,,,,12715.0,240.07,14:07 ~ 14:57,14:57 ~ 15:53
Aeroporto Internacional Soekarno-Hatta (Jacarta),,,,,,,,,,,,,,,,,16013.0,302.34,17:47 ~ 18:50,18:50 ~ 20:00
Aeroporto Internacional Ngurah Rai (Bali),,,,,,,,,,,,,,,,,16800.0,317.2,18:40 ~ 19:45,19:45 ~ 21:00
Aeroporto Internacional de Narita (Tóquio),,,,,,,,,,,,,,,,,16460.0,310.78,18:17 ~ 19:21,19:21 ~ 20:34
Aeroporto Internacional de Haneda (Tóquio),,,,,,,,,,,,,,,,,16481.0,311.18,18:18 ~ 19:23,19:23 ~ 20:36
Aeroporto Internacional de Kansai (Osaka),,,,,,,,,,,,,,,,,16550.0,312.48,18:23 ~ 19:28,19:28 ~ 20:41
Aeroporto Internacional de Wattay (Vientiane),,,,,,,,,,,,,,,,,15512.0,292.88,17:14 ~ 18:14,18:14 ~ 19:23
Aeroporto Internacional de Kuala Lumpur (Sepang),,,,,,,,,,,,,,,,,15617.0,294.86,17:21 ~ 18:22,18:22 ~ 19:31
Aeroporto Internacional de Penang (Penang),,,,,,,,,,,,,,,,,15464.0,291.98,17:10 ~ 18:11,18:11 ~ 19:19
Aeroporto Internacional de Malé,,,,,,,,,,,,,,,,,12495.0,235.92,13:52 ~ 14:41,14:41 ~ 15:37
Aeroporto Internacional de Changi,,,,,,,,,,,,,,,,,15861.0,299.47,17:37 ~ 18:39,18:39 ~ 19:49
Aeroporto Internacional de Suvarnabhumi,,,,,,,,,,,,,,,,,15430.0,291.33,17:08 ~ 18:09,18:09 ~ 19:17
Aeroporto Internacional Don Mueang,,,,,,,,,,,,,,,,,15410.0,290.96,17:07 ~ 18:07,18:07 ~ 19:15
Aeroporto Internacional de Taiwan Taoyuan,,,,,,,,,,,,,,,,,16816.0,317.5,18:41 ~ 19:47,19:47 ~ 21:01
Aeroporto Internacional de Tan Son Nhat,,,,,,,,,,,,,,,,,16116.0,304.29,17:54 ~ 18:57,18:57 ~ 20:08
Aeroporto Internacional de Noi Bai,,,,,,,,,,,,,,,,,15718.0,296.77,17:27 ~ 18:29,18:29 ~ 19:38
Aeroporto de Frankfurt,,,,,,,,,,,,,,,,,7472.0,141.08,08:18 ~ 08:47,08:47 ~ 09:20
Aeroporto de Dublin,,,,,,,,,,,,,,,,,7019.0,132.53,07:47 ~ 08:15,08:15 ~ 08:46
Aeroporto de Varsóvia Chopin,,,,,,,,,,,,,,,,,8332.0,157.32,09:15 ~ 09:48,09:48 ~ 10:24
Aeroporto de Oslo-Gardermoen,,,,,,,,,,,,,,,,,8292.0,156.56,09:12 ~ 09:45,09:45 ~ 10:21
Aeroporto de Roma-Fiumicino,,,,,,,,,,,,,,,,,7191.0,135.77,07:59 ~ 08:27,08:27 ~ 08:59
Aeroporto de Milão-Malpensa,,,,,,,,,,,,,,,,,7189.0,135.74,07:59 ~ 08:27,08:27 ~ 08:59
Aeroporto de Praga,,,,,,,,,,,,,,,,,7810.0,147.46,08:40 ~ 09:11,09:11 ~ 09:45
Aeroporto de Heathrow (Londres),,,,,,,,,,,,,,,,,7106.0,134.17,07:53 ~ 08:21,08:21 ~ 08:52
Aeroporto de Gatwick (Londres),,,,,,,,,,,,,,,,,7092.0,133.9,07:52 ~ 08:20,08:20 ~ 08:51
Aeroporto Internacional de Budapeste Ferenc Liszt,,,,,,,,,,,,,,,,,7982.0,150.71,08:52 ~ 09:23,09:23 ~ 09:58
Aeroporto de Schiphol (Amsterdã),,,,,,,,,,,,,,,,,7428.0,140.25,08:15 ~ 08:44,08:44 ~ 09:17
Aeroporto Internacional de Boryspil (Kiev),,,,,,,,,,,,,,,,,8894.0,167.93,09:52 ~ 10:27,10:27 ~ 11:07
Aeroporto de Istambul,,,,,,,,,,,,,,,,,8414.0,158.86,09:20 ~ 09:53,09:53 ~ 10:31
Aeroporto de Zurique,,,,,,,,,,,,,,,,,7298.0,137.79,08:06 ~ 08:35,08:35 ~ 09:07
Aeroporto de Estocolmo-Arlanda,,,,,,,,,,,,,,,,,8571.0,161.83,09:31 ~ 10:05,10:05 ~ 10:42
Aeroporto Nikola Tesla (Belgrado),,,,,,,,,,,,,,,,,7925.0,149.63,08:48 ~ 09:19,09:19 ~ 09:54
Aeroporto Internacional Sheremetyevo (Moscou),,,,,,,,,,,,,,,,,9485.0,179.09,10:32 ~ 11:09,11:09 ~ 11:51
Aeroporto de Pulkovo (São Petersburgo),,,,,,,,,,,,,,,,,9203.0,173.76,10:13 ~ 10:49,10:49 ~ 11:30
Aeroporto Internacional Henri Coand? (Bucareste),,,,,,,,,,,,,,,,,8338.0,157.43,09:15 ~ 09:48,09:48 ~ 10:25
Aeroporto Humberto Delgado (Lisboa),,,,,,,,,,,,,,,,,5596.0,105.66,06:13 ~ 06:35,06:35 ~ 06:59
Aeroporto Francisco Sá Carneiro (Porto),,,,,,,,,,,,,,,,,5834.0,110.15,06:28 ~ 06:51,06:51 ~ 07:17
Aeroporto Internacional de Malta,,,,,,,,,,,,,,,,,7042.0,132.96,07:49 ~ 08:17,08:17 ~ 08:48
Aeroporto de Luxemburgo,,,,,,,,,,,,,,,,,7311.0,138.04,08:07 ~ 08:36,08:36 ~ 09:08
Aeroporto Internacional de Vilnius,,,,,,,,,,,,,,,,,8709.0,164.43,09:40 ~ 10:14,10:14 ~ 10:53
Aeroporto Internacional de Riga,,,,,,,,,,,,,,,,,8740.0,165.02,09:42 ~ 10:16,10:16 ~ 10:55
Aeroporto Internacional Madre Teresa (Tirana),,,,,,,,,,,,,,,,,7723.0,145.82,08:34 ~ 09:05,09:05 ~ 09:39
Aeroporto de Barcelona-El Prat (Espanha),,,,,,,,,,,,,,,,,6469.0,122.14,07:11 ~ 07:36,07:36 ~ 08:05
Aeroporto de Toulouse-Blagnac (França),,,,,,,,,,,,,,,,,6596.0,124.54,07:19 ~ 07:45,07:45 ~ 08:14
Aeroporto Internacional de Viena,,,,,,,,,,,,,,,,,7841.0,148.05,08:42 ~ 09:13,09:13 ~ 09:48
Aeroporto de Bruxelas,,,,,,,,,,,,,,,,,7309.0,138.0,08:07 ~ 08:35,08:35 ~ 09:08
Aeroporto de Sófia,,,,,,,,,,,,,,,,,8058.0,152.14,08:57 ~ 09:28,09:28 ~ 10:04
Aeroporto de Bratislava,,,,,,,,,,,,,,,,,7886.0,148.9,08:45 ~ 09:16,09:16 ~ 09:51
Aeroporto de Ljubljana Joe Pu?nik,,,,,,,,,,,,,,,,,7597.0,143.44,08:26 ~ 08:56,08:56 ~ 09:29
Aeroporto Adolfo Suárez Madrid-Barajas,,,,,,,,,,,,,,,,,6059.0,114.4,06:43 ~ 07:07,07:07 ~ 07:34
Aeroporto de Barcelona-El Prat,,,,,,,,,,,,,,,,,6469.0,122.14,07:11 ~ 07:36,07:36 ~ 08:05
Aeroporto de Tallinn,,,,,,,,,,,,,,,,,8902.0,168.08,09:53 ~ 10:28,10:28 ~ 11:07
Aeroporto de Vágar,,,,,,,,,,,,,,,,,7771.0,146.72,08:38 ~ 09:08,09:08 ~ 09:42
Aeroporto de Helsinque,,,,,,,,,,,,,,,,,8953.0,169.04,09:56 ~ 10:31,10:31 ~ 11:11
Aeroporto Internacional de Brasília,,,,,,,,,,,,,,,,,1688.0,31.87,01:52 ~ 01:59,01:59 ~ 02:06
Aeroporto Internacional de Várzea Grande,,,,,,,,,,,,,,,,,2359.0,44.54,02:37 ~ 02:46,02:46 ~ 02:56
Aeroporto Internacional de Belém,,,,,,,,,,,,,,,,,1137.0,21.47,01:15 ~ 01:20,01:20 ~ 01:25
Aeroporto Internacional de Tabatinga,,,,,,,,,,,,,,,,,3081.0,58.17,03:25 ~ 03:37,03:37 ~ 03:51
Aeroporto Internacional de Manaus,,,,,,,,,,,,,,,,,2392.0,45.16,02:39 ~ 02:48,02:48 ~ 02:59
Aeroporto Internacional de Macapá,,,,,,,,,,,,,,,,,1457.0,27.51,01:37 ~ 01:42,01:42 ~ 01:49
Aeroporto Internacional de Fortaleza,,,,,,,,,,,,,,,,,,,,
Aeroporto Internacional de Maceió,,,,,,,,,,,,,,,,,660.0,12.46,00:44 ~ 00:46,00:46 ~ 00:49
Aeroporto Internacional de Aracaju,,,,,,,,,,,,,,,,,809.0,15.27,00:53 ~ 00:57,00:57 ~ 01:00
Aeroporto Internacional de Belo Horizonte,,,,,,,,,,,,,,,,,1826.0,34.48,02:01 ~ 02:08,02:08 ~ 02:16
Aeroporto Santos Dumont,,,,,,,,,,,,,,,,,2175.0,41.07,02:24 ~ 02:33,02:33 ~ 02:43
Aeroporto Internacional do Rio de Janeiro,,,,,,,,,,,,,,,,,2166.0,40.9,02:24 ~ 02:32,02:32 ~ 02:42
Aeroporto Internacional de Vitória,,,,,,,,,,,,,,,,,1833.0,34.61,02:02 ~ 02:09,02:09 ~ 02:17
Aeroporto Internacional de São José dos Campos,,,,,,,,,,,,,,,,,2290.0,43.24,02:32 ~ 02:41,02:41 ~ 02:51
Aeroporto Internacional de Viracopos,,,,,,,,,,,,,,,,,2372.0,44.79,02:38 ~ 02:47,02:47 ~ 02:57
Aeroporto Internacional de Curitiba,,,,,,,,,,,,,,,,,2635.0,49.75,02:55 ~ 03:06,03:06 ~ 03:17
Aeroporto Internacional de Florianópolis,,,,,,,,,,,,,,,,,2850.0,53.81,03:09 ~ 03:21,03:21 ~ 03:33
Aeroporto Internacional de Navegantes,,,,,,,,,,,,,,,,,2778.0,52.45,03:05 ~ 03:16,03:16 ~ 03:28
Aeroporto Internacional de Porto Alegre,,,,,,,,,,,,,,,,,3193.0,60.29,03:32 ~ 03:45,03:45 ~ 03:59
Aeroporto Internacional de Boa Vista,,,,,,,,,,,,,,,,,2572.0,48.56,02:51 ~ 03:01,03:01 ~ 03:12
