Origem,Recife - Guararapes (Hr - Cargueiro),Salvador - Dpt. Magalhães (Hr - Cargueiro),Natal - Gov. Alves (Hr - Cargueiro),São Luiz - Mar. Cunha (Hr - Cargueiro),Fortaleza - Martins (Hr - Cargueiro)
Aeroporto Internacional de Guarulhos,,,,,02:44 ~ 02:55
Aeroporto Internacional Guararapes - Gilberto Freyre,,,,,00:44 ~ 00:46
Aeroporto Internacional Deputado Luís Eduardo Magalhães,,,,,01:11 ~ 01:15
Aeroporto Internacional Governador Aluízio Alves,,,,,00:30 ~ 00:31
Aeroporto Internacional Marechal Cunha Machado,,,,,00:45 ~ 00:48
Aeroporto Internacional Pinto Martins,,,,,00:00 ~ 00:00
Aeroporto Internacional de Nursultan Nazarbayev,,,,,13:47 ~ 14:39
Aeroporto Internacional de Xangai Pudong,,,,,19:14 ~ 20:26
Aeroporto Internacional de Pequim Capital,,,,,17:58 ~ 19:05
Aeroporto Internacional de Pyongyang Sunan,,,,,18:33 ~ 19:42
Aeroporto Internacional de Incheon,,,,,18:47 ~ 19:58
Aeroporto Internacional Ninoy Aquino,,,,,20:34 ~ 21:51
Aeroporto Internacional de Hong Kong,,,,,19:18 ~ 20:31
Aeroporto Internacional Indira Gandhi,,,,,14:57 ~ 15:53
Aeroporto Internacional Soekarno-Hatta (Jacarta),,,,,18:50 ~ 20:00
Aeroporto Internacional Ngurah Rai (Bali),,,,,19:45 ~ 21:00
Aeroporto Internacional de Narita (Tóquio),,,,,19:21 ~ 20:34
Aeroporto Internacional de Haneda (Tóquio),,,,,19:23 ~ 20:36
Aeroporto Internacional de Kansai (Osaka),,,,,19:28 ~ 20:41
Aeroporto Internacional de Wattay (Vientiane),,,,,18:14 ~ 19:23
Aeroporto Internacional de Kuala Lumpur (Sepang),,,,,18:22 ~ 19:31
Aeroporto Internacional de Penang (Penang),,,,,18:11 ~ 19:19
Aeroporto Internacional de Malé,,,,,14:41 ~ 15:37
Aeroporto Internacional de Changi,,,,,18:39 ~ 19:49
Aeroporto Internacional de Suvarnabhumi,,,,,18:09 ~ 19:17
Aeroporto Internacional Don Mueang,,,,,18:07 ~ 19:15
Aeroporto Internacional de Taiwan Taoyuan,,,,,19:47 ~ 21:01
Aeroporto Internacional de Tan Son Nhat,,,,,18:57 ~ 20:08
Aeroporto Internacional de Noi Bai,,,,,18:29 ~ 19:38
Aeroporto de Frankfurt,,,,,08:47 ~ 09:20
Aeroporto de Dublin,,,,,08:15 ~ 08:46
Aeroporto de Varsóvia Chopin,,,,,09:48 ~ 10:24
Aeroporto de Oslo-Gardermoen,,,,,09:45 ~ 10:21
Aeroporto de Roma-Fiumicino,,,,,08:27 ~ 08:59
Aeroporto de Milão-Malpensa,,,,,08:27 ~ 08:59
Aeroporto de Praga,,,,,09:11 ~ 09:45
Aeroporto de Heathrow (Londres),,,,,08:21 ~ 08:52
Aeroporto de Gatwick (Londres),,,,,08:20 ~ 08:51
Aeroporto Internacional de Budapeste Ferenc Liszt,,,,,09:23 ~ 09:58
Aeroporto de Schiphol (Amsterdã),,,,,08:44 ~ 09:17
Aeroporto Internacional de Boryspil (Kiev),,,,,10:27 ~ 11:07
Aeroporto de Istambul,,,,,09:53 ~ 10:31
Aeroporto de Zurique,,,,,08:35 ~ 09:07
Aeroporto de Estocolmo-Arlanda,,,,,10:05 ~ 10:42
Aeroporto Nikola Tesla (Belgrado),,,,,09:19 ~ 09:54
Aeroporto Internacional Sheremetyevo (Moscou),,,,,11:09 ~ 11:51
Aeroporto de Pulkovo (São Petersburgo),,,,,10:49 ~ 11:30
Aeroporto Internacional Henri Coand? (Bucareste),,,,,09:48 ~ 10:25
Aeroporto Humberto Delgado (Lisboa),,,,,06:35 ~ 06:59
Aeroporto Francisco Sá Carneiro (Porto),,,,,06:51 ~ 07:17
Aeroporto Internacional de Malta,,,,,08:17 ~ 08:48
Aeroporto de Luxemburgo,,,,,08:36 ~ 09:08
Aeroporto Internacional de Vilnius,,,,,10:14 ~ 10:53
Aeroporto Internacional de Riga,,,,,10:16 ~ 10:55
Aeroporto Internacional Madre Teresa (Tirana),,,,,09:05 ~ 09:39
Aeroporto de Barcelona-El Prat (Espanha),,,,,07:36 ~ 08:05
Aeroporto de Toulouse-Blagnac (França),,,,,07:45 ~ 08:14
Aeroporto Internacional de Viena,,,,,09:13 ~ 09:48
Aeroporto de Bruxelas,,,,,08:35 ~ 09:08
Aeroporto de Sófia,,,,,09:28 ~ 10:04
Aeroporto de Bratislava,,,,,09:16 ~ 09:51
Aeroporto de Ljubljana Joe Pu?nik,,,,,08:56 ~ 09:29
Aeroporto Adolfo Suárez Madrid-Barajas,,,,,07:07 ~ 07:34
Aeroporto de Barcelona-El Prat,,,,,07:36 ~ 08:05
Aeroporto de Tallinn,,,,,10:28 ~ 11:07
Aeroporto de Vágar,,,,,09:08 ~ 09:42
Aeroporto de Helsinque,,,,,10:31 ~ 11:11
Aeroporto Internacional de Brasília,,,,,01:59 ~ 02:06
Aeroporto Internacional de Várzea Grande,,,,,02:46 ~ 02:56
Aeroporto Internacional de Belém,,,,,01:20 ~ 01:25
Aeroporto Internacional de Tabatinga,,,,,03:37 ~ 03:51
Aeroporto Internacional de Manaus,,,,,02:48 ~ 02:59
Aeroporto Internacional de Macapá,,,,,01:42 ~ 01:49
Aeroporto Internacional de Fortaleza,,,,,
Aeroporto Internacional de Maceió,,,,,00:46 ~ 00:49
Aeroporto Internacional de Aracaju,,,,,00:57 ~ 01:00
Aeroporto Internacional de Belo Horizonte,,,,,02:08 ~ 02:16
Aeroporto Santos Dumont,,,,,02:33 ~ 02:43
Aeroporto Internacional do Rio de Janeiro,,,,,02:32 ~ 02:42
Aeroporto Internacional de Vitória,,,,,02:09 ~ 02:17
Aeroporto Internacional de São José dos Campos,,,,,02:41 ~ 02:51
Aeroporto Internacional de Viracopos,,,,,02:47 ~ 02:57
Aeroporto Internacional de Curitiba,,,,,03:06 ~ 03:17
Aeroporto Internacional de Florianópolis,,,,,03:21 ~ 03:33
Aeroporto Internacional de Navegantes,,,,,03:16 ~ 03:28
Aeroporto Internacional de Porto Alegre,,,,,03:45 ~ 03:59
Aeroporto Internacional de Boa Vista,,,,,03:01 ~ 03:12
