Origem,Recife - Guararapes (Hr - Comercial),Salvador - Dpt. Magalhães (Hr - Comercial),Natal - Gov. Alves (Hr - Comercial),São Luiz - Mar. Cunha (Hr - Comercial),Fortaleza - Martins (Hr - Comercial)
Aeroporto Internacional de Guarulhos,,,,,02:35 ~ 02:44
Aeroporto Internacional Guararapes - Gilberto Freyre,,,,,00:41 ~ 00:44
Aeroporto Internacional Deputado Luís Eduardo Magalhães,,,,,01:07 ~ 01:11
Aeroporto Internacional Governador Aluízio Alves,,,,,00:28 ~ 00:30
Aeroporto Internacional Marechal Cunha Machado,,,,,00:43 ~ 00:45
Aeroporto Internacional Pinto Martins,,,,,00:00 ~ 00:00
Aeroporto Internacional de Nursultan Nazarbayev,,,,,13:01 ~ 13:47
Aeroporto Internacional de Xangai Pudong,,,,,18:09 ~ 19:14
Aeroporto Internacional de Pequim Capital,,,,,16:58 ~ 17:58
Aeroporto Internacional de Pyongyang Sunan,,,,,17:31 ~ 18:33
Aeroporto Internacional de Incheon,,,,,17:45 ~ 18:47
Aeroporto Internacional Ninoy Aquino,,,,,19:26 ~ 20:34
Aeroporto Internacional de Hong Kong,,,,,18:14 ~ 19:18
Aeroporto Internacional Indira Gandhi,,,,,14:07 ~ 14:57
Aeroporto Internacional Soekarno-Hatta (Jacarta),,,,,17:47 ~ 18:50
Aeroporto Internacional Ngurah Rai (Bali),,,,,18:40 ~ 19:45
Aeroporto Internacional de Narita (Tóquio),,,,,18:17 ~ 19:21
Aeroporto Internacional de Haneda (Tóquio),,,,,18:18 ~ 19:23
Aeroporto Internacional de Kansai (Osaka),,,,,18:23 ~ 19:28
Aeroporto Internacional de Wattay (Vientiane),,,,,17:14 ~ 18:14
Aeroporto Internacional de Kuala Lumpur (Sepang),,,,,17:21 ~ 18:22
Aeroporto Internacional de Penang (Penang),,,,,17:10 ~ 18:11
Aeroporto Internacional de Malé,,,,,13:52 ~ 14:41
Aeroporto Internacional de Changi,,,,,17:37 ~ 18:39
Aeroporto Internacional de Suvarnabhumi,,,,,17:08 ~ 18:09
Aeroporto Internacional Don Mueang,,,,,17:07 ~ 18:07
Aeroporto Internacional de Taiwan Taoyuan,,,,,18:41 ~ 19:47
Aeroporto Internacional de Tan Son Nhat,,,,,17:54 ~ 18:57
Aeroporto Internacional de Noi Bai,,,,,17:27 ~ 18:29
Aeroporto de Frankfurt,,,,,08:18 ~ 08:47
Aeroporto de Dublin,,,,,07:47 ~ 08:15
Aeroporto de Varsóvia Chopin,,,,,09:15 ~ 09:48
Aeroporto de Oslo-Gardermoen,,,,,09:12 ~ 09:45
Aeroporto de Roma-Fiumicino,,,,,07:59 ~ 08:27
Aeroporto de Milão-Malpensa,,,,,07:59 ~ 08:27
Aeroporto de Praga,,,,,08:40 ~ 09:11
Aeroporto de Heathrow (Londres),,,,,07:53 ~ 08:21
Aeroporto de Gatwick (Londres),,,,,07:52 ~ 08:20
Aeroporto Internacional de Budapeste Ferenc Liszt,,,,,08:52 ~ 09:23
Aeroporto de Schiphol (Amsterdã),,,,,08:15 ~ 08:44
Aeroporto Internacional de Boryspil (Kiev),,,,,09:52 ~ 10:27
Aeroporto de Istambul,,,,,09:20 ~ 09:53
Aeroporto de Zurique,,,,,08:06 ~ 08:35
Aeroporto de Estocolmo-Arlanda,,,,,09:31 ~ 10:05
Aeroporto Nikola Tesla (Belgrado),,,,,08:48 ~ 09:19
Aeroporto Internacional Sheremetyevo (Moscou),,,,,10:32 ~ 11:09
Aeroporto de Pulkovo (São Petersburgo),,,,,10:13 ~ 10:49
Aeroporto Internacional Henri Coand? (Bucareste),,,,,09:15 ~ 09:48
Aeroporto Humberto Delgado (Lisboa),,,,,06:13 ~ 06:35
Aeroporto Francisco Sá Carneiro (Porto),,,,,06:28 ~ 06:51
Aeroporto Internacional de Malta,,,,,07:49 ~ 08:17
Aeroporto de Luxemburgo,,,,,08:07 ~ 08:36
Aeroporto Internacional de Vilnius,,,,,09:40 ~ 10:14
Aeroporto Internacional de Riga,,,,,09:42 ~ 10:16
Aeroporto Internacional Madre Teresa (Tirana),,,,,08:34 ~ 09:05
Aeroporto de Barcelona-El Prat (Espanha),,,,,07:11 ~ 07:36
Aeroporto de Toulouse-Blagnac (França),,,,,07:19 ~ 07:45
Aeroporto Internacional de Viena,,,,,08:42 ~ 09:13
Aeroporto de Bruxelas,,,,,08:07 ~ 08:35
Aeroporto de Sófia,,,,,08:57 ~ 09:28
Aeroporto de Bratislava,,,,,08:45 ~ 09:16
Aeroporto de Ljubljana Joe Pu?nik,,,,,08:26 ~ 08:56
Aeroporto Adolfo Suárez Madrid-Barajas,,,,,06:43 ~ 07:07
Aeroporto de Barcelona-El Prat,,,,,07:11 ~ 07:36
Aeroporto de Tallinn,,,,,09:53 ~ 10:28
Aeroporto de Vágar,,,,,08:38 ~ 09:08
Aeroporto de Helsinque,,,,,09:56 ~ 10:31
Aeroporto Internacional de Brasília,,,,,01:52 ~ 01:59
Aeroporto Internacional de Várzea Grande,,,,,02:37 ~ 02:46
Aeroporto Internacional de Belém,,,,,01:15 ~ 01:20
Aeroporto Internacional de Tabatinga,,,,,03:25 ~ 03:37
Aeroporto Internacional de Manaus,,,,,02:39 ~ 02:48
Aeroporto Internacional de Macapá,,,,,01:37 ~ 01:42
Aeroporto Internacional de Fortaleza,,,,,
Aeroporto Internacional de Maceió,,,,,00:44 ~ 00:46
Aeroporto Internacional de Aracaju,,,,,00:53 ~ 00:57
Aeroporto Internacional de Belo Horizonte,,,,,02:01 ~ 02:08
Aeroporto Santos Dumont,,,,,02:24 ~ 02:33
Aeroporto Internacional do Rio de Janeiro,,,,,02:24 ~ 02:32
Aeroporto Internacional de Vitória,,,,,02:02 ~ 02:09
Aeroporto Internacional de São José dos Campos,,,,,02:32 ~ 02:41
Aeroporto Internacional de Viracopos,,,,,02:38 ~ 02:47
Aeroporto Internacional de Curitiba,,,,,02:55 ~ 03:06
Aeroporto Internacional de Florianópolis,,,,,03:09 ~ 03:21
Aeroporto Internacional de Navegantes,,,,,03:05 ~ 03:16
Aeroporto Internacional de Porto Alegre,,,,,03:32 ~ 03:45
Aeroporto Internacional de Boa Vista,,,,,02:51 ~ 03:01
